Method	\lambda	\alpha	F1-score
cone	-0.0	-None	0.5445478234543606
cone	-0.1	-None	0.5422658255883583
arcone	-0.0	-None	0.5415265990953847
arcone	-0.1	-None	0.5343261844616903
triang	-0.7	-None	0.46268779663655213
fuzzy	-0.4	-1.0	0.4598840958839273
arcone	--0.4	-None	0.45745125232610967
sum	-1.0	-None	0.45469714319987387
cone	--0.4	-None	0.4424630243047865
fuzzy	-0.7	-0.4	0.42672041510461967
arcone	-0.4	-None	0.4205868408491973
mean	-0.4	-None	0.41858153019437283
fuzzy	-0.7	-0.7	0.41789724243868553
cone	-0.4	-None	0.41299383978209464
arcone	--0.7	-None	0.4094480253355979
fuzzy	-0.4	-0.0	0.40741660324537116
sum	-0.7	-None	0.39792858077767257
fuzzy	-0.4	-0.1	0.3974336210925885
fuzzy	-0.7	-0.1	0.3967374248174427
fuzzy	-0.4	-0.7	0.3965026615490073
cone	--0.7	-None	0.395722803679988
fuzzy	-0.7	-0.0	0.3866626903258943
fuzzy	-0.4	-0.4	0.3854753450827149
mean	-0.7	-None	0.3852321974982499
fuzzy	-1.0	-0.7	0.37819636536657664
arcone	--1.0	-None	0.3769473970329466
mean	-1.0	-None	0.3749917227299425
triang	-0.4	-None	0.37397186666908944
cone	--1.0	-None	0.37158247891579144
fuzzy	-0.7	-1.0	0.3704572657520398
fuzzy	-1.0	-0.4	0.36868429202683345
triang	-0.0	-None	0.36758030918613727
fuzzy	-1.0	-0.0	0.367185667522558
triang	-0.1	-None	0.3662549756662378
triang	--1.0	-None	0.3654929303260071
triang	--0.7	-None	0.36493590629354994
fuzzy	-1.0	-1.0	0.36455761991964064
fuzzy	-1.0	-0.1	0.36361277611277615
triang	--0.4	-None	0.3615360998335218
fuzzy	-0.1	-0.7	0.3573939962061509
sum	-0.4	-None	0.3511936723173203
fuzzy	--1.0	-1.0	0.34931443603149065
sum	--0.4	-None	0.3490841264527237
fuzzy	--1.0	-0.7	0.3490841264527237
fuzzy	--0.4	-1.0	0.34890116694665557
mean	--0.4	-None	0.34887029678014264
mean	--0.7	-None	0.3483748178885758
arcone	-1.0	-None	0.34832324750191695
fuzzy	--0.7	-0.1	0.3482887984476729
fuzzy	--0.7	-0.0	0.34810706177203116
fuzzy	-0.0	-0.0	0.34795822873803384
fuzzy	--0.7	-0.7	0.34792526092641285
fuzzy	--0.4	-0.7	0.3478864733984334
sum	-0.0	-None	0.3475241681825649
mean	--1.0	-None	0.34734291861958533
fuzzy	--0.4	-0.1	0.347015290529412
sum	--1.0	-None	0.34679878088456145
fuzzy	--0.7	-1.0	0.3467586264464363
fuzzy	--0.4	-0.0	0.34657786530828283
fuzzy	-0.1	-1.0	0.3462861486128418
fuzzy	-0.1	-0.1	0.34621614679530033
sum	-0.1	-None	0.3461723767245749
fuzzy	--0.7	-0.4	0.34599217121513187
triang	-1.0	-None	0.34585416596176255
cone	-0.7	-None	0.3456730769230769
fuzzy	--1.0	-0.1	0.34549192200228734
fuzzy	-0.1	-0.0	0.34549192200228734
fuzzy	--0.4	-0.4	0.3453519470936187
fuzzy	-0.0	-0.1	0.3451294141121684
fuzzy	--1.0	-0.4	0.34509015336522336
arcone	-0.7	-None	0.3447288822288822
fuzzy	-0.0	-0.4	0.34445651214266426
fuzzy	-0.0	-0.7	0.344005540166205
fuzzy	-0.0	-1.0	0.34396493611616474
mean	-0.1	-None	0.34378468753468755
fuzzy	-0.1	-0.4	0.34355939930723517
cone	-1.0	-None	0.34220356684852876
sum	--0.7	-None	0.34179044672318215
fuzzy	--1.0	-0.0	0.3417168213361145
mean	-0.0	-None	0.34125641575687793
