Method	\lambda	\alpha	F1-score
arcone	0.0	None	0.5564367191743618
cone	0.0	None	0.5507385606734944
arcone	0.1	None	0.5489752873617122
cone	0.1	None	0.5466881313481768
arcone	-0.4	None	0.49458790885768855
cone	-0.4	None	0.4804308856725535
fuzzy	0.7	0.4	0.44913922161772046
arcone	0.4	None	0.44875679401927215
fuzzy	0.7	1.0	0.44497674037295276
fuzzy	0.7	0.7	0.4437943792553609
fuzzy	0.7	0.1	0.4413347982996608
mean	0.7	None	0.44070059208301654
fuzzy	0.7	0.0	0.4376573079642567
triang	0.7	None	0.42986775865130633
cone	0.4	None	0.4298512585234872
arcone	-0.7	None	0.4229264689791006
sum	1.0	None	0.41041501329452845
cone	-0.7	None	0.40969874792022076
arcone	-1.0	None	0.3910251955042272
cone	-1.0	None	0.3909364463803122
fuzzy	0.4	0.0	0.3869183713641112
fuzzy	0.4	0.1	0.38484260138307413
triang	0.1	None	0.3781421320703769
triang	-0.4	None	0.3772070074569489
fuzzy	1.0	0.0	0.37671586553744446
triang	-1.0	None	0.3739019416798257
triang	0.0	None	0.3730547230547231
mean	0.4	None	0.3728253678567355
triang	-0.7	None	0.3724155330222526
fuzzy	1.0	0.7	0.3724155330222526
triang	0.4	None	0.3696661513863263
mean	1.0	None	0.36962515001189034
fuzzy	1.0	0.4	0.3690863011658675
fuzzy	1.0	0.1	0.36827409396458816
fuzzy	1.0	1.0	0.36755139922142144
fuzzy	0.4	1.0	0.3659986832223336
sum	0.7	None	0.36549998912871084
fuzzy	0.4	0.4	0.36465500759683855
fuzzy	0.4	0.7	0.3642590992547791
cone	0.7	None	0.3586943689324393
arcone	0.7	None	0.3568110281857172
fuzzy	-0.7	1.0	0.3536305642659234
fuzzy	0.0	1.0	0.3522556825539748
mean	-0.7	None	0.35172998157252094
fuzzy	-1.0	0.0	0.35078704336389915
fuzzy	0.1	0.0	0.350577240575757
fuzzy	-0.4	0.1	0.35023528361691214
fuzzy	0.1	0.1	0.350027482791198
fuzzy	-0.7	0.0	0.3498961041285102
sum	0.1	None	0.3494771616779628
fuzzy	-1.0	0.7	0.3490525192603966
mean	-1.0	None	0.34868801073015926
fuzzy	-0.4	0.4	0.34855870011914425
sum	-1.0	None	0.3485350576398425
fuzzy	0.0	0.7	0.34850566100566094
fuzzy	0.0	0.0	0.34774339580736036
sum	-0.7	None	0.34770535307477474
mean	-0.4	None	0.3476386523420506
triang	1.0	None	0.3475241681825649
sum	-0.4	None	0.3474102196326379
fuzzy	-1.0	0.1	0.3474102196326379
fuzzy	-0.4	0.7	0.3471616042836657
fuzzy	0.0	0.1	0.34698022507268306
fuzzy	-0.7	0.1	0.3468616308688138
cone	1.0	None	0.3468616308688138
fuzzy	0.1	1.0	0.3466786386476266
sum	0.4	None	0.3466508495636019
fuzzy	-1.0	1.0	0.3464356971688305
fuzzy	-0.4	1.0	0.3464356971688305
fuzzy	-0.7	0.7	0.34625405743730076
fuzzy	0.1	0.4	0.34581189981809773
mean	0.1	None	0.34549192200228734
fuzzy	-0.7	0.4	0.34549192200228734
sum	0.0	None	0.34531070109882644
fuzzy	-0.4	0.0	0.3449480609418282
fuzzy	0.1	0.7	0.34476664148736147
fuzzy	-1.0	0.4	0.34445651214266426
mean	0.0	None	0.3442772241933418
arcone	1.0	None	0.3442219844153546
fuzzy	0.0	0.4	0.3409000480625909
