Method	\lambda	\alpha	F1-score
arcone	--0.4	-None	0.569298850707
cone	--0.4	-None	0.561920467919
arcone	--0.7	-None	0.52266090809
cone	--0.7	-None	0.497368813238
fuzzy	-0.4	-0.7	0.453084187261
fuzzy	-0.4	-0.4	0.45279857155
sum	-0.4	-None	0.449096444902
cone	-0.0	-None	0.448599396972
arcone	-0.0	-None	0.448110014584
sum	-0.7	-None	0.446574913982
arcone	--1.0	-None	0.443729946801
fuzzy	-0.4	-0.1	0.438072230211
fuzzy	-0.4	-1.0	0.433378015698
fuzzy	-0.4	-0.0	0.429105401894
mean	-0.4	-None	0.427663977513
triang	-0.7	-None	0.41941456294
cone	--1.0	-None	0.414792573876
arcone	-0.1	-None	0.392154567299
cone	-0.1	-None	0.386841955054
sum	-1.0	-None	0.38177016665
fuzzy	-0.1	-0.0	0.363704913448
fuzzy	-0.1	-1.0	0.358143351801
fuzzy	-0.1	-0.1	0.352103689557
fuzzy	-0.7	-0.4	0.346716520919
arcone	-0.4	-None	0.346372898795
mean	-0.1	-None	0.346092092948
cone	-0.4	-None	0.346092092948
fuzzy	-0.7	-0.7	0.344553819797
fuzzy	-0.1	-0.7	0.341403674366
arcone	-0.7	-None	0.340807270544
fuzzy	-0.7	-0.1	0.339873422673
sum	--0.4	-None	0.339523890345
fuzzy	--0.7	-0.0	0.339523890345
fuzzy	-0.7	-1.0	0.33929067341
fuzzy	--0.4	-0.7	0.339189870774
fuzzy	-0.1	-0.4	0.339189870774
fuzzy	--0.4	-1.0	0.339022749055
fuzzy	-0.0	-1.0	0.339022749055
fuzzy	-0.0	-0.0	0.338855552618
fuzzy	-0.7	-0.0	0.338614713618
fuzzy	--1.0	-0.1	0.338546131486
fuzzy	-0.0	-0.4	0.338379635181
mean	-0.7	-None	0.338319042047
fuzzy	--1.0	-0.7	0.338213063488
fuzzy	--0.4	-0.0	0.338213063488
fuzzy	-0.0	-0.7	0.338213063488
arcone	-1.0	-None	0.338213063488
sum	-0.1	-None	0.338046416335
fuzzy	--0.4	-0.4	0.337734316601
sum	-0.0	-None	0.337568372626
fuzzy	--0.4	-0.1	0.337568372626
triang	-1.0	-None	0.337402352515
mean	--1.0	-None	0.337402352515
fuzzy	--1.0	-1.0	0.337402352515
fuzzy	--0.7	-0.4	0.337402352515
mean	-0.0	-None	0.337236256201
fuzzy	-0.0	-0.1	0.337236256201
mean	--0.4	-None	0.336756080731
fuzzy	--1.0	-0.0	0.336756080731
fuzzy	--0.7	-1.0	0.336590613766
cone	-1.0	-None	0.336590613766
cone	-0.7	-None	0.336590613766
fuzzy	--0.7	-0.1	0.33642506985
sum	--0.7	-None	0.336107591726
fuzzy	--1.0	-0.4	0.335777844862
fuzzy	--0.7	-0.7	0.335777844862
mean	--0.7	-None	0.335128399384
fuzzy	-1.0	-0.0	0.335097940338
sum	--1.0	-None	0.334964043418
triang	--0.4	-None	0.33478673733
triang	-0.4	-None	0.334124438055
mean	-1.0	-None	0.334124438055
triang	--0.7	-None	0.333811351315
triang	-0.1	-None	0.333811351315
triang	--1.0	-None	0.33364636593
triang	-0.0	-None	0.33364636593
fuzzy	-1.0	-0.7	0.33364636593
fuzzy	-1.0	-0.4	0.332671452054
fuzzy	-1.0	-1.0	0.332506859044
fuzzy	-1.0	-0.1	0.332342186209
