Method	\lambda	\alpha	F1-score
triang	-0.7	-None	0.526892331877
fuzzy	-1.0	-0.7	0.520100038313
fuzzy	-0.7	-0.0	0.517525770952
sum	-0.7	-None	0.515854593721
fuzzy	-0.4	-0.7	0.515170471978
fuzzy	-1.0	-1.0	0.51496555075
triang	-0.1	-None	0.514655742268
fuzzy	-1.0	-0.4	0.514011785872
cone	--0.7	-None	0.512293763986
triang	-0.4	-None	0.512242955982
fuzzy	-1.0	-0.1	0.511134260505
mean	-1.0	-None	0.510338800503
arcone	--1.0	-None	0.509817973769
fuzzy	-0.4	-0.4	0.507786769501
arcone	--0.4	-None	0.50687123861
fuzzy	-0.1	-0.1	0.506758800406
cone	--0.4	-None	0.506487856838
triang	--0.4	-None	0.50638705638
triang	--1.0	-None	0.505834943447
triang	--0.7	-None	0.505616857187
arcone	--0.7	-None	0.504536958553
arcone	-0.0	-None	0.504389540742
mean	-0.4	-None	0.504323151855
fuzzy	-1.0	-0.0	0.504112591191
fuzzy	-0.7	-0.1	0.503827925629
fuzzy	-0.4	-0.0	0.503303286524
arcone	-0.4	-None	0.503267457123
fuzzy	-0.4	-0.1	0.503038079762
fuzzy	-0.7	-0.7	0.502717549162
cone	-0.1	-None	0.502607962286
fuzzy	-0.7	-0.4	0.5024175173
fuzzy	-0.7	-1.0	0.501469465569
mean	-0.7	-None	0.501097804554
cone	-0.0	-None	0.499261934599
cone	--1.0	-None	0.499002753769
sum	--1.0	-None	0.498448320778
triang	-0.0	-None	0.497933806731
fuzzy	--0.4	-0.4	0.497656221164
fuzzy	--0.7	-1.0	0.496861019313
mean	--1.0	-None	0.496837154935
fuzzy	--1.0	-0.7	0.496837154935
fuzzy	-0.0	-0.0	0.496408908659
fuzzy	-0.4	-1.0	0.495808907441
fuzzy	-0.1	-1.0	0.494892910495
fuzzy	-0.0	-0.4	0.4945896042
fuzzy	--1.0	-0.1	0.493939828828
fuzzy	--0.4	-0.0	0.493834027574
fuzzy	-0.0	-1.0	0.492998389904
sum	-1.0	-None	0.492861131356
arcone	-1.0	-None	0.492478765802
arcone	-0.1	-None	0.492362991301
fuzzy	--0.7	-0.1	0.490114164785
fuzzy	-0.1	-0.7	0.490037595485
mean	-0.0	-None	0.489901896528
fuzzy	--1.0	-1.0	0.489417275588
mean	--0.4	-None	0.489346955703
triang	-1.0	-None	0.488328352322
sum	-0.4	-None	0.488232265257
fuzzy	--0.4	-1.0	0.488167429074
fuzzy	--0.7	-0.4	0.487636731517
sum	-0.0	-None	0.487056038111
fuzzy	--0.7	-0.7	0.485549308748
fuzzy	--0.7	-0.0	0.48537071274
fuzzy	--0.4	-0.1	0.485209560926
cone	-1.0	-None	0.484358046182
fuzzy	-0.0	-0.7	0.484132684193
fuzzy	--1.0	-0.4	0.483891892949
arcone	-0.7	-None	0.483707608696
cone	-0.4	-None	0.483654571441
sum	--0.7	-None	0.482920384511
mean	-0.1	-None	0.481917697854
sum	-0.1	-None	0.481741967963
mean	--0.7	-None	0.480156094129
cone	-0.7	-None	0.478948088054
fuzzy	-0.1	-0.0	0.47696625934
fuzzy	-0.0	-0.1	0.475141017389
fuzzy	--1.0	-0.0	0.47378258544
fuzzy	-0.1	-0.4	0.473257584492
sum	--0.4	-None	0.471988972501
fuzzy	--0.4	-0.7	0.470426793299
