Method	\lambda	\alpha	F1-score
arcone	--0.4	-None	0.5456995189757012
cone	--0.4	-None	0.5161846572535066
arcone	-0.0	-None	0.4702472298704986
cone	-0.0	-None	0.4674184373944981
fuzzy	-0.1	-0.7	0.45105225184502645
fuzzy	-0.1	-1.0	0.450352254336797
fuzzy	-0.1	-0.1	0.4481573493320745
mean	-0.1	-None	0.44806724943611936
fuzzy	-0.1	-0.4	0.4462515930438053
fuzzy	-0.1	-0.0	0.4448347390420365
sum	-0.1	-None	0.43647312349984607
arcone	--0.7	-None	0.43623490816309746
sum	-0.4	-None	0.4301255258883828
arcone	-0.1	-None	0.40042166210390506
cone	--0.7	-None	0.3986055851180645
cone	-0.1	-None	0.3916693425125551
fuzzy	-0.0	-0.1	0.3822991534974724
fuzzy	-0.0	-0.4	0.3819465516606869
fuzzy	-0.4	-0.4	0.3810203840311446
sum	-0.7	-None	0.38067220706898053
fuzzy	-0.0	-1.0	0.380269241791308
fuzzy	-0.4	-0.7	0.38023469696054146
fuzzy	-0.0	-0.0	0.38005647995322733
mean	-0.0	-None	0.37986030318252295
sum	-0.0	-None	0.37927152928390173
fuzzy	-0.4	-0.1	0.3749185419130192
fuzzy	-0.0	-0.7	0.3745547475915302
arcone	--1.0	-None	0.3704221240248028
mean	-0.4	-None	0.36673591073911593
fuzzy	-0.4	-1.0	0.36633618068002605
fuzzy	-0.4	-0.0	0.36589771422836126
triang	-1.0	-None	0.3658057595278854
triang	-0.7	-None	0.3584041648017842
cone	--1.0	-None	0.35546368213163976
sum	-1.0	-None	0.34384892624203073
fuzzy	--0.4	-0.4	0.3411079343116349
cone	-0.4	-None	0.33999908177378346
arcone	-0.4	-None	0.33999908177378346
fuzzy	--0.4	-0.0	0.3396636674084187
sum	--0.4	-None	0.33902274905451396
fuzzy	--0.4	-0.7	0.3387125524696682
fuzzy	--0.7	-0.0	0.3385461314855774
mean	--0.4	-None	0.3383796351813143
cone	-1.0	-None	0.3382130634876291
fuzzy	--0.7	-0.4	0.3380464163352444
arcone	-1.0	-None	0.3380464163352444
arcone	-0.7	-None	0.3378796936548554
sum	--0.7	-None	0.3377343166005405
mean	--1.0	-None	0.3377343166005405
mean	--0.7	-None	0.3377343166005405
fuzzy	--1.0	-0.4	0.3377343166005405
fuzzy	--1.0	-0.7	0.3375683726259848
fuzzy	--0.4	-1.0	0.3375683726259848
fuzzy	--1.0	-0.1	0.3374023525154079
fuzzy	--1.0	-0.0	0.3374023525154079
fuzzy	--0.7	-0.1	0.3374023525154079
fuzzy	--0.4	-0.1	0.3374023525154079
sum	--1.0	-None	0.3372362562012639
fuzzy	-0.7	-0.4	0.3370449449052069
fuzzy	--0.7	-0.7	0.33692147081036744
fuzzy	-0.7	-0.0	0.3368777675998123
fuzzy	--0.7	-1.0	0.3367560807314128
fuzzy	--1.0	-1.0	0.3364250698495013
fuzzy	-0.7	-0.7	0.33637577932188556
triang	--1.0	-None	0.33623807425481034
fuzzy	-0.7	-1.0	0.33623807425481034
triang	-0.0	-None	0.33576212334583916
fuzzy	-0.7	-0.1	0.33576212334583916
triang	-0.4	-None	0.33559619368121857
cone	-0.7	-None	0.3351283993838498
triang	--0.4	-None	0.3347867373301943
fuzzy	-1.0	-0.4	0.3347867373301943
fuzzy	-1.0	-0.0	0.3344557441275697
mean	-0.7	-None	0.3342901302320805
fuzzy	-1.0	-0.7	0.3341244380545691
triang	--0.7	-None	0.3338113513145494
mean	-1.0	-None	0.3336463659297328
triang	-0.1	-None	0.33331615822071564
fuzzy	-1.0	-1.0	0.3326714520539899
fuzzy	-1.0	-0.1	0.3321774334874772
