Method	\lambda	\alpha	F1-score
arcone	0.1	None	0.52400952766
cone	0.0	None	0.522112734315
cone	0.1	None	0.521089967003
arcone	0.0	None	0.519810156548
sum	1.0	None	0.472964029307
triang	0.7	None	0.464758551374
fuzzy	0.4	0.1	0.449418951464
fuzzy	0.4	0.0	0.442810682583
arcone	0.4	None	0.435241131522
mean	0.4	None	0.434677588874
arcone	-0.4	None	0.428272806488
sum	0.7	None	0.423386527327
cone	-0.4	None	0.422604967055
cone	0.4	None	0.422576277306
fuzzy	0.4	0.4	0.417845959482
fuzzy	0.4	0.7	0.415878415955
fuzzy	0.4	1.0	0.412979989745
fuzzy	0.7	0.4	0.4055184437
fuzzy	0.7	0.7	0.399760142367
cone	-0.7	None	0.399657432136
arcone	-0.7	None	0.399208072969
fuzzy	0.1	0.7	0.390982510621
fuzzy	-0.7	1.0	0.390425372616
arcone	0.7	None	0.38990697686
sum	-0.7	None	0.389659832915
fuzzy	0.7	0.1	0.38793875382
fuzzy	-0.7	0.1	0.387339653281
mean	-0.4	None	0.38699628289
sum	-0.4	None	0.386013289721
sum	0.4	None	0.385494850513
fuzzy	0.1	0.1	0.385023838177
fuzzy	0.7	1.0	0.384966495355
mean	0.0	None	0.38485751493
fuzzy	0.7	0.0	0.384406651984
sum	0.0	None	0.384235347108
arcone	-1.0	None	0.384050572257
fuzzy	-1.0	0.4	0.383644950508
fuzzy	-1.0	0.7	0.38356424661
fuzzy	-1.0	1.0	0.3833203922
triang	1.0	None	0.383231936219
fuzzy	-0.4	0.7	0.382315490359
cone	1.0	None	0.380957528411
fuzzy	-0.7	0.7	0.38079571228
fuzzy	-0.4	0.1	0.380703054332
fuzzy	-1.0	0.0	0.380575527477
fuzzy	-0.7	0.0	0.3803860232
arcone	1.0	None	0.380209771577
fuzzy	0.0	0.7	0.380163523905
fuzzy	-0.4	1.0	0.380071668093
mean	1.0	None	0.379794328073
mean	0.7	None	0.379586543647
fuzzy	1.0	0.4	0.379586543647
cone	0.7	None	0.379454962549
fuzzy	0.1	0.0	0.379249310814
triang	-0.7	None	0.379011545329
fuzzy	0.1	1.0	0.378950814303
cone	-1.0	None	0.3782632037
fuzzy	0.0	1.0	0.378014515644
sum	-1.0	None	0.377215931018
fuzzy	1.0	0.1	0.376896931736
mean	-0.7	None	0.376816815199
triang	0.1	None	0.376365719171
mean	0.1	None	0.376295646189
fuzzy	-1.0	0.1	0.37610390179
fuzzy	0.0	0.0	0.375900369339
fuzzy	0.0	0.4	0.375493172289
sum	0.1	None	0.374882044071
fuzzy	-0.7	0.4	0.374678245356
fuzzy	0.0	0.1	0.37456694494
triang	-1.0	None	0.373957496384
triang	-0.4	None	0.373862599925
triang	0.0	None	0.373862599925
fuzzy	1.0	0.0	0.373555805352
triang	0.4	None	0.373357039352
mean	-1.0	None	0.373357039352
fuzzy	-0.4	0.4	0.372948576277
fuzzy	1.0	0.7	0.371922982731
fuzzy	0.1	0.4	0.371922982731
fuzzy	-0.4	0.0	0.371091208678
fuzzy	1.0	1.0	0.370914676484
