Method	\lambda	\alpha	F1-score
arcone	-0.0	-None	0.542482932460536
cone	-0.0	-None	0.5411368057056407
cone	-0.1	-None	0.5182099770402839
arcone	-0.1	-None	0.514877314472197
arcone	--0.4	-None	0.48265329155745507
cone	--0.4	-None	0.4683576566672192
fuzzy	-0.7	-0.7	0.44608267945755176
fuzzy	-0.7	-0.4	0.4406529576870635
fuzzy	-0.7	-1.0	0.4290605230217531
sum	-1.0	-None	0.42735796574840856
fuzzy	-0.7	-0.1	0.4218998705163134
triang	-0.7	-None	0.4143692014524634
mean	-0.7	-None	0.4105924608847511
fuzzy	-0.7	-0.0	0.40516065152212277
arcone	-0.4	-None	0.40500624850469613
arcone	--0.7	-None	0.40406231994764097
cone	-0.4	-None	0.3926734640884244
cone	--0.7	-None	0.3900625881552667
fuzzy	-0.4	-0.0	0.39002139717788575
arcone	--1.0	-None	0.3815832050907372
fuzzy	-0.4	-0.1	0.3768969317359947
mean	-0.4	-None	0.3763956826369814
triang	--0.4	-None	0.3760742886194043
triang	-0.4	-None	0.3752834764449093
triang	--1.0	-None	0.3749917227299425
triang	-0.0	-None	0.3747950706937338
fuzzy	-1.0	-0.0	0.3729994992488733
cone	--1.0	-None	0.3725720397324941
triang	-0.1	-None	0.37247462216220023
fuzzy	-1.0	-1.0	0.3713548319892105
triang	--0.7	-None	0.37089358735547306
fuzzy	-1.0	-0.1	0.37039612188365656
mean	-1.0	-None	0.368660352965542
fuzzy	-1.0	-0.7	0.3675685595567867
fuzzy	-1.0	-0.4	0.36601332504971973
fuzzy	-0.4	-1.0	0.3646219013482796
fuzzy	-0.4	-0.7	0.36250102271797524
fuzzy	-0.4	-0.4	0.357699673266894
fuzzy	-0.1	-1.0	0.356453138221094
sum	-0.7	-None	0.35584062745869394
fuzzy	-0.0	-0.1	0.3545714222509803
fuzzy	--0.4	-1.0	0.3532455778304438
mean	-0.1	-None	0.3521456608106699
fuzzy	--1.0	-0.7	0.3521332904602351
fuzzy	--0.4	-0.7	0.3521332904602351
fuzzy	--0.7	-0.7	0.3517488482958096
fuzzy	--1.0	-0.4	0.35156385094895193
cone	-0.7	-None	0.3513613697542033
fuzzy	--1.0	-0.0	0.35101881389051137
fuzzy	-0.1	-0.0	0.35099251183377167
fuzzy	-0.0	-0.4	0.35062340693292426
mean	-0.0	-None	0.35060318559556786
triang	-1.0	-None	0.350419265716083
sum	--0.7	-None	0.3502107978350033
sum	--0.4	-None	0.3502107978350033
fuzzy	--0.7	-1.0	0.3500512391895857
fuzzy	--1.0	-1.0	0.350027482791198
cone	-1.0	-None	0.350027482791198
fuzzy	--0.4	-0.4	0.34988445268198937
fuzzy	-0.1	-0.1	0.34984410515527736
sum	-0.1	-None	0.3491099665453997
fuzzy	-0.0	-1.0	0.3489456576678117
fuzzy	-0.1	-0.7	0.34892627434063894
mean	--0.4	-None	0.34865207970311324
arcone	-1.0	-None	0.348351907627396
fuzzy	-0.0	-0.7	0.34795822873803384
mean	--1.0	-None	0.34780207488484144
fuzzy	-0.0	-0.0	0.3476186693833854
fuzzy	--0.4	-0.0	0.34748101922989816
mean	--0.7	-None	0.3473794723353737
fuzzy	--0.4	-0.1	0.347015290529412
fuzzy	--1.0	-0.1	0.3466786386476266
fuzzy	--0.7	-0.1	0.3464685316378798
sum	-0.0	-None	0.3463970387914978
fuzzy	-0.1	-0.4	0.3461292726252788
sum	-0.4	-None	0.3457087455254817
arcone	-0.7	-None	0.34549192200228734
sum	--1.0	-None	0.34522480045895826
fuzzy	--0.7	-0.0	0.34436734476035213
fuzzy	--0.7	-0.4	0.34346233068028387
