Method	\lambda	\alpha	F1-score
arcone	--0.4	-None	0.580161802245
cone	--0.4	-None	0.570886890773
arcone	--0.7	-None	0.506882543855
cone	--0.7	-None	0.468980764143
arcone	-0.0	-None	0.458837672061
cone	-0.0	-None	0.455731321147
fuzzy	-0.1	-0.1	0.453438259642
fuzzy	-0.1	-1.0	0.453340973822
mean	-0.1	-None	0.453264727252
fuzzy	-0.1	-0.4	0.450066622733
fuzzy	-0.1	-0.0	0.449635096556
fuzzy	-0.1	-0.7	0.448322484555
sum	-0.4	-None	0.43027017976
arcone	--1.0	-None	0.42767513954
sum	-0.1	-None	0.425025487408
fuzzy	-0.4	-0.4	0.408717742167
fuzzy	-0.4	-0.7	0.405894073991
arcone	-0.1	-None	0.401576906029
sum	-0.7	-None	0.401391385253
cone	-0.1	-None	0.398359762704
fuzzy	-0.4	-0.1	0.395330811802
fuzzy	-0.4	-0.0	0.391077127927
mean	-0.4	-None	0.391039859867
cone	--1.0	-None	0.388855798434
fuzzy	-0.4	-1.0	0.386907557387
fuzzy	-0.0	-1.0	0.386296552937
sum	-0.0	-None	0.381552475302
fuzzy	-0.0	-0.7	0.381001515807
mean	-0.0	-None	0.380804918105
fuzzy	-0.0	-0.4	0.377611073118
fuzzy	-0.0	-0.1	0.376798178783
fuzzy	-0.0	-0.0	0.374360498579
triang	-0.7	-None	0.372756226113
triang	-1.0	-None	0.366391347307
sum	-1.0	-None	0.36433062925
cone	-0.4	-None	0.341445676936
sum	--0.7	-None	0.339999081774
fuzzy	--1.0	-0.0	0.339999081774
cone	-0.7	-None	0.339495849184
arcone	-0.4	-None	0.339327956835
fuzzy	--1.0	-0.1	0.338855552618
fuzzy	--0.7	-0.1	0.338855552618
fuzzy	-0.7	-0.4	0.338783814587
fuzzy	--0.4	-0.0	0.33871255247
fuzzy	--0.7	-1.0	0.338379635181
fuzzy	--0.7	-0.7	0.338379635181
fuzzy	--0.4	-0.1	0.338379635181
mean	--0.7	-None	0.338213063488
fuzzy	--1.0	-0.7	0.338213063488
fuzzy	--0.4	-0.7	0.338213063488
fuzzy	--0.4	-0.4	0.338213063488
arcone	-0.7	-None	0.338046416335
fuzzy	--1.0	-0.4	0.337734316601
fuzzy	-0.7	-0.0	0.337683079509
fuzzy	-0.7	-0.7	0.337515282775
fuzzy	-0.7	-0.1	0.337515282775
fuzzy	--0.4	-1.0	0.337236256201
fuzzy	--1.0	-1.0	0.33692147081
cone	-1.0	-None	0.33692147081
fuzzy	--0.7	-0.4	0.336756080731
sum	--0.4	-None	0.336590613766
mean	-0.7	-None	0.336543184878
mean	--1.0	-None	0.336107591726
sum	--1.0	-None	0.335942757114
mean	--0.4	-None	0.335777844862
fuzzy	--0.7	-0.0	0.335612854907
arcone	-1.0	-None	0.335612854907
fuzzy	-0.7	-1.0	0.335097940338
triang	-0.4	-None	0.334621279805
triang	-0.1	-None	0.334455744128
mean	-1.0	-None	0.334455744128
fuzzy	-1.0	-1.0	0.334141085458
triang	--0.7	-None	0.334124438055
triang	-0.0	-None	0.333958667531
fuzzy	-1.0	-0.4	0.333811351315
triang	--1.0	-None	0.33364636593
fuzzy	-1.0	-0.7	0.33364636593
fuzzy	-1.0	-0.0	0.33300039884
fuzzy	-1.0	-0.1	0.332506859044
triang	--0.4	-None	0
